Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
665,-3,-4,8,6,3,-1,-1,-3,
670,-1,-2,-21,-7,1,-1,-3,0,
675,0,2,33,5,2,0,1,-2,
680,-2,4,-4,-4,0,-2,0,0,
685,-1,-2,18,-2,-3,-1,-1,-4,
690,-6,-16,-14,-4,0,-1,-1,-1,
695,0,-4,7,5,0,0,-1,0,
700,-3,5,-13,-3,-3,-3,-2,-2,
705,-1,-1,33,-1,0,-3,-2,2,
710,-5,3,21,20,3,0,2,-5,
715,-1,-2,1,-9,-2,-2,-3,-6,
720,-5,-3,-20,-15,-3,-1,0,-1,
725,-2,-3,-35,-10,-8,-4,-2,-3,
730,3,6,40,26,5,-1,-2,-2,
735,-1,6,-9,0,3,-2,0,0,
740,-1,1,1,-7,0,1,-1,0,
745,0,-7,-18,-5,0,-1,1,-5,
750,-2,-3,-12,-8,-5,1,0,1,
755,0,-4,-3,1,0,-3,-2,-1,
760,3,1,5,1,-1,-1,-2,0,
765,-2,3,6,0,0,2,2,-1,
770,2,1,-16,-10,-2,-2,-2,1,
775,0,-2,6,3,4,3,-3,-1,
780,-2,-2,14,-1,-1,-2,-1,-2,
785,-2,-4,3,2,-1,-1,-2,0,
790,1,1,-19,-8,-1,-1,-2,1,
795,0,-3,-14,8,-4,-3,-3,-5,
800,-1,-3,8,16,0,0,-1,-1,
805,0,2,17,-2,2,-1,-3,1,
810,-3,-3,-25,-11,-4,-4,-3,0,
815,2,-3,18,-2,-4,-3,-1,1,
820,-2,1,-1,-9,0,1,0,-2,
825,0,-1,-6,13,-2,-2,-4,-1,
830,1,-2,-5,-1,-3,-2,-1,-1,
835,0,1,32,3,3,0,-1,0,
840,1,-1,-13,0,-3,-2,1,-2,
845,-4,-4,-44,-10,-3,0,-1,0,
850,3,15,78,18,2,1,2,1,
855,-3,7,-31,-10,-4,-2,-2,0,
860,0,0,23,1,1,-2,2,0,
865,-2,-4,42,-2,-9,-1,0,1,
870,0,-7,-19,19,12,2,-2,-3,
875,-1,-2,-3,-10,0,-3,0,-1,
880,-1,0,9,-1,-3,0,-1,-1,
885,-1,-5,-11,-17,-1,0,0,-3,
890,-3,0,1,-3,-3,-2,-1,0,
895,0,-5,2,3,-2,-1,1,-1,
900,-2,-3,-10,2,0,-2,-1,0,
905,-1,-1,6,-3,-1,-5,-2,-4,
910,-2,-1,-36,-12,-4,-1,1,-5,
915,0,-8,-28,-2,-3,-3,-1,0,
920,-1,4,38,4,3,0,-2,1,
925,0,0,-18,4,3,0,-3,0,
930,-3,-4,-9,-11,-3,-5,-2,0,
935,-1,-4,-21,-10,-4,-2,-1,-3,
940,3,-1,21,5,1,1,1,-2,
945,-2,2,5,-1,3,-1,3,-5,
950,-1,-5,-22,5,2,0,-1,-1,
955,-3,3,32,5,-3,2,0,2,
960,0,-5,-16,-12,-2,0,-2,2,
965,1,1,16,27,-1,-3,-2,0,
970,2,-1,-25,-21,-4,-1,1,1,
975,0,1,-5,-1,0,1,-1,-3,
980,-3,-2,-8,5,-3,-4,-3,-5,
985,-1,1,25,-10,2,1,4,3,
990,-2,-2,-1,-13,-8,-2,-1,-2,
995,-1,-4,-3,5,0,-4,-4,1,
1000,-2,0,-19,-6,-1,-1,-2,-1,
1005,-1,-8,2,6,-2,-1,-2,-4,
1010,-1,3,-11,-2,-2,1,-3,1,
1015,-1,5,36,13,5,3,1,1,
1020,-1,-2,-20,-17,-4,-2,-2,1,
1025,2,-2,-3,13,-1,-4,-6,1,
1030,1,-2,-7,-1,-3,-3,1,-2,
1035,-1,-4,-9,-8,-2,-2,-3,-3,
1040,0,4,2,1,1,1,-2,-4,
1045,-1,1,-12,-5,1,2,1,2,
1050,-3,2,11,4,0,2,-3,-4,
1055,-2,-3,3,-4,0,-3,-2,-3,
1060,1,-3,-5,8,-4,-4,-1,-2,
1065,0,-1,-3,-12,-2,0,-2,1,
1070,0,-3,-19,-2,1,0,-2,-2,
1075,-1,-1,17,3,3,0,1,-2,
1080,-4,-3,16,6,1,0,0,-1,
1085,2,0,-36,-17,1,0,-2,-1,
1090,-4,0,1,9,-3,-5,-3,-1,
1095,0,-4,-9,2,-2,0,0,0,
1100,-2,-5,-25,-14,-4,-2,-1,-1,
1105,0,6,39,0,1,3,1,0,
1110,1,-1,13,-1,-2,-2,-1,2,
1115,-2,-2,-8,13,0,0,0,-3,
1120,-1,-3,-2,-9,-1,-1,-1,1,
1125,-3,-2,-18,-6,-4,-2,2,-1,
1130,-1,-4,1,4,1,0,0,-3,
1135,1,1,42,-6,0,-2,0,-2,
1140,0,1,1,11,4,-1,-1,-2,
1145,-1,-2,1,2,-4,-2,-3,-3,
1150,0,4,11,-1,1,-1,-1,1,
1155,0,-2,-16,-2,-3,-1,-2,1,
1160,-4,-5,-5,0,0,2,0,-1,
1165,0,-5,-14,-10,1,-4,-1,-1,
1170,-2,-6,-10,9,-2,-1,-2,-2,
1175,-1,1,-34,-6,-3,-3,-3,-2,
1180,0,3,10,-8,-1,1,-1,-2,
1185,-2,-4,-17,-1,-1,-1,1,-3,
1190,-2,-2,2,-5,2,-2,-2,0,
1195,0,0,-16,-9,-3,-3,-2,0,
1200,1,4,8,11,2,-1,1,-1,
1205,0,2,7,-8,0,0,-1,2,
1210,0,-2,-6,-18,-6,-5,-2,-1,
1215,-3,-4,10,9,3,1,-3,-1,
1220,-3,0,-10,-5,-5,-3,-2,-1,
1225,1,-3,24,10,1,-2,-2,-2,
1230,0,0,-9,-7,-3,0,1,0,
1235,-3,-6,-11,-17,-5,-2,-4,-1,
1240,-1,-6,-15,-1,-2,-3,-2,-2,
1245,-1,3,-3,3,-1,-1,2,0,
1250,1,2,23,6,5,0,1,0,
1255,-1,1,-22,-13,-6,-2,-1,-1,
1260,-2,0,34,9,1,1,-2,-1,
1265,-3,-5,-1,-3,-5,-2,-4,0,
1270,-2,-1,-5,6,2,0,0,-4,
1275,-1,-1,-17,-21,-5,-1,-2,0,
1280,4,4,54,25,4,-1,-1,1,
1285,-2,-3,-23,-9,-4,-1,2,-3,
1290,-2,-1,-22,-5,0,0,0,-3,
1295,-4,-4,-26,-3,-3,-4,0,-2,
1300,-4,-3,2,-9,0,0,-1,0,
1305,1,-6,-5,3,-4,-1,0,-4,
1310,0,2,2,0,-2,0,-5,1,
1315,-1,0,10,4,-1,-1,0,1,
1320,0,0,-20,-10,-3,-2,-2,-1,
1325,2,7,45,5,3,2,-2,0,
1330,-2,-5,-16,4,-2,-3,-1,-3,
1335,1,-3,3,12,3,1,2,-3,
1340,-3,-3,-28,-19,-11,-4,2,3,
1345,-3,-3,-12,-2,1,-1,-1,0,
1350,1,-2,2,-6,-1,0,-2,-2,
1355,0,3,23,10,3,0,-2,1,
1360,-1,-4,-37,-6,-2,-1,0,-2,
1365,-2,3,46,5,2,3,-1,0,
1370,0,0,-19,-2,-1,-3,-2,0,
1375,1,5,56,-4,0,1,3,-1,
1380,1,-2,-20,-2,1,1,-2,-1,
1385,-4,-4,-27,-2,-3,-1,0,-2,
1390,0,-2,2,-3,2,0,1,0,
1395,0,-3,0,4,-5,-5,-2,-1,
1400,-3,-7,-28,-24,-6,0,-1,-3,
1405,1,10,30,27,7,0,-1,2,
1410,-1,-2,-11,13,5,1,1,-3,
1415,1,3,41,1,0,-1,-2,0,
1420,0,-1,-18,12,5,1,0,0,
1425,-2,-7,1,-12,-6,-2,-2,-5,
1430,-3,0,9,-8,-5,-1,1,0,
1435,0,0,-20,4,3,-1,0,1,
1440,-2,-2,2,4,-3,-4,-3,-3,
1445,1,1,-7,-4,0,-1,-1,-4,
1450,-4,-3,5,-12,-11,-5,-4,-1,
1455,-2,-4,-31,12,8,1,-2,-4,
1460,1,8,99,22,5,4,2,-1,
1465,-1,-3,-37,-12,-1,-3,0,-1,
1470,-2,2,21,7,1,-1,-2,-3,
1475,-2,-4,-32,-22,-10,-2,0,-1,
1480,-3,-2,-11,-3,-2,-3,-1,1,
1485,-2,-4,-13,0,1,0,0,0,
1490,-1,-2,-6,0,-1,1,-1,-1,
1495,-2,3,7,-2,-4,-1,-4,-1,
1500,-2,-2,-14,-13,0,-4,-3,0,
1505,-4,1,7,4,-2,-2,1,-1,
1510,2,-3,-26,-3,2,-1,-5,1,
1515,2,-1,38,6,0,0,-1,-2,
1520,1,-1,-5,1,-1,0,0,-1,
1525,-1,-3,-19,-9,-1,-3,-2,1,
1530,-2,-2,9,-2,2,-2,1,-1,
1535,-2,-5,-15,-4,-2,-2,-1,-1,
1540,-1,0,-4,0,-7,-4,-2,-3,
1545,0,-3,3,-2,-4,-1,2,-2,
1550,-3,0,-3,0,2,-2,-2,0,
1555,-1,0,-1,-13,-1,1,1,0,
1560,1,-2,-18,4,2,-2,2,-3,
1565,-1,-1,-11,-7,-5,0,-2,1,
1570,-1,1,45,13,2,0,1,-2,
1575,-1,2,-2,0,3,-3,-1,-4,
1580,1,-2,-10,-15,-5,-1,-2,-1,
1585,-3,-2,-25,0,-1,-1,-4,-2,
1590,1,-1,-8,5,-2,-2,-1,-2,
1595,-2,0,2,-4,2,0,-3,0,
1600,-2,-1,-4,0,-2,-1,0,0,
1605,1,-1,7,-4,-1,0,-1,-1,
1610,-3,-1,-17,-20,-10,-1,-1,0,
1615,2,3,47,17,4,-4,2,-2,
1620,-2,0,7,-2,-1,-2,-1,-1,
1625,-1,-3,1,-2,-2,-1,-1,0,
1630,-1,0,9,1,1,0,0,0,
1635,1,-2,-32,-2,-3,0,-4,-3,
1640,0,3,54,12,2,5,1,-1,
1645,-1,-3,-14,0,-1,-5,0,-3,
1650,-1,0,22,-8,-5,-1,-1,-1,
1655,-5,-2,-31,-10,-5,-2,0,-1,
1660,0,4,-9,16,4,-1,0,-1,
1665,-1,-2,-14,-8,-1,-1,-1,-4,
1670,1,3,-26,0,-3,-4,-3,-4,
1675,-2,-2,-6,-3,-4,-1,-1,2,
1680,0,-2,-4,1,3,1,0,-1,
1685,1,3,13,2,-2,-6,-5,0,
1690,0,-7,-27,1,-1,1,0,-2,
1695,-1,0,0,1,1,0,-1,0,
1700,-1,1,4,-1,-1,1,0,-3,
1705,-2,-3,4,-2,-3,2,-3,-1,
1710,-2,-3,-3,-4,1,0,-1,0,
1715,-2,-3,11,6,1,-1,1,-4,
1720,-2,-3,-12,-9,-3,-2,0,0,
1725,1,2,6,0,0,0,1,-1,
1730,1,0,-3,0,2,-4,-1,-4,
1735,-2,-2,-8,-3,-7,0,1,2,
1740,-1,-3,-9,-5,0,-3,-2,0,
1745,-2,0,4,8,0,0,-2,-1,
1750,-3,-1,20,3,0,1,-1,1,
1755,0,-1,-2,-12,-2,-1,-1,-2,
1760,-2,0,28,2,0,-1,-3,1,
1765,-3,2,17,-1,0,2,1,0,
1770,2,-1,13,11,0,-1,0,-3,
1775,-1,-5,-17,-4,-2,-4,-2,0,
1780,-2,-3,-22,-6,-2,0,-2,0,
1785,-3,-2,-4,-2,-1,1,-1,-1,
