Timestamp, Rotation x, Rotation y, Rotation z
3480,-17.3125,26.375,-34.6875,
3500,-17.6875,22.25,-38.5,
3520,-16.125,20.4375,-41.5625,
3540,-7.8125,18.4375,-43.75,
3560,-3.6875,13,-47.5,
3580,-3.875,6,-51.8125,
3600,5.5625,0.1875,-53.5,
3620,6.875,-4.9375,-54.75,
3640,10.3125,-12.25,-53.625,
3660,19.8125,-21.75,-52.3125,
3680,28.25,-26.9375,-51.4375,
3700,31.375,-26.3125,-49.4375,
3720,34.625,-25.9375,-44,
3740,42.1875,-30.8125,-37.5625,
3760,43.3125,-35.5,-34.4375,
3780,44.75,-39.5625,-29.9375,
3800,45.3125,-40.6875,-23.5,
3820,41.25,-42.0625,-17.9375,
3840,40.375,-42.75,-12.25,
3860,44.875,-43.875,-6.6875,
3880,45.1875,-43.8125,-0.625,
3900,42.75,-43.625,4.1875,
3920,40.125,-42.25,8.6875,
3940,38.9375,-42.3125,14.1875,
3960,29.25,-40.6875,20,
3980,28.125,-39.6875,26,
4000,31.25,-36.25,28.5625,
4020,31.4375,-34.8125,34.5,
4040,20.9375,-32,39.125,
4060,16.1875,-28.5625,41.25,
4080,15.0625,-25.75,42,
4100,11.4375,-23,49.1875,
4120,7.3125,-18.125,54.3125,
4140,-3.3125,-11.5,56.125,
4160,-7.25,-6.5,56.8125,
4180,-14.125,-3.0625,63.625,
4200,-18.4375,1.9375,67.3125,
4220,-27.9375,8.75,63.625,
4240,-28.0625,9.8125,63.75,
4260,-24.5,15.5625,63.5,
4280,-23.25,21.4375,61.0625,
4300,-23,24.375,54.9375,
4320,-22.375,28.125,52.4375,
4340,-18.75,33.0625,50.4375,
4360,-17.1875,38.625,47.875,
4380,-10.5625,42.875,42.75,
4400,-7.0625,45.0625,39.125,
4420,-8.375,47.9375,34.5625,
4440,-9.75,47.75,28,
4460,-13.8125,50.375,20.4375,
4480,-12.75,52.1875,11.8125,
4500,-10.8125,48.3125,4.875,
4520,-10.875,47.3125,-5.1875,
4540,-18.6875,42.75,-14.5,
4560,-18.375,39.1875,-22.125,
4580,-14.0625,38.1875,-27.3125,
4600,-13.75,36.375,-31.125,
4620,-16.6875,37,-34.75,
4630,-12.25,42,-38.4375,
4650,-5.8125,42.25,-39.375,
4670,-3.5625,42.4375,-42.0625,
4690,-1.4375,42.9375,-43.4375,
4710,1.5625,40.75,-46.5625,
4730,2.6875,37.8125,-50.375,
4750,10.1875,34.125,-53.1875,
4770,12.375,27.875,-55.0625,
4790,12.9375,23.4375,-58.6875,
4810,11.8125,16.375,-61,
4830,12.75,9.375,-62.875,
4850,13.6875,2.125,-62.125,
4870,16.5,-5.0625,-61.875,
4890,19.4375,-12.0625,-61.375,
4910,21.125,-16.625,-61.1875,
4930,23.5,-23.625,-57.625,
4950,27.5,-28.5,-52.875,
4970,29.75,-29.625,-49.5,
4990,33,-32.5,-43.625,
5010,40.8125,-38.5625,-34.9375,
5030,45.375,-38.0625,-33,
5050,45.4375,-40,-26.625,
5070,46.5625,-43.875,-21.0625,
