Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
650,9,8,6,0,-25,-67,2,-1,0
655,-2,-1,2,-1,12,18,-2,0,0
660,-1,0,-1,45,-57,36,1,-7,0
665,-5,2,1,6,53,21,6,1,0
670,8,6,10,-31,43,-46,-4,1,0
675,3,-1,-2,71,19,-20,-2,3,0
680,-3,-15,0,43,-49,41,-5,-4,0
685,-3,-17,1,-70,-79,-3,-3,-5,0
690,-1,0,4,-53,8,-65,-8,2,0
695,-2,1,1,19,-90,3,-13,-3,0
700,-2,3,-4,18,-68,36,-8,-1,0
705,-1,9,-13,-17,-24,0,2,-1,0
710,3,4,-11,-41,18,-42,2,0,0
715,-1,1,2,10,22,15,5,3,0
720,-3,-11,1,39,-35,25,-2,-1,0
725,-8,-4,7,31,47,-24,5,0,0
730,-4,-3,-3,-95,-51,-21,41,2,0
735,1,-1,0,33,38,5,-10,-4,0
740,2,2,-1,84,28,3,-20,-2,0
745,2,0,14,-71,-40,-13,-13,-2,0
750,-7,-19,5,-47,37,-15,-2,-4,0
755,-1,-9,-5,-74,-93,3,1,-3,0
760,-1,2,-9,34,-119,11,5,2,0
765,2,10,-14,-71,-24,4,5,3,0
770,6,8,-5,-41,13,-13,-4,2,0
775,1,5,-1,-13,-34,-8,4,5,0
780,-7,-3,2,49,-70,13,3,-2,0
785,-1,-3,0,-47,-7,1,4,-7,0
790,3,-5,0,-60,29,-12,-8,-2,0
795,-1,-17,-4,7,7,-6,-15,6,0
800,-1,13,-10,32,-50,6,-11,0,0
805,0,21,-1,-55,-1,6,3,-6,0
810,3,20,3,-45,43,23,36,3,0
815,0,-2,7,-73,-7,2,-7,-1,0
820,-2,-28,-5,-128,-42,-20,-26,-2,0
825,-9,-36,-7,-30,1,-1,-11,3,0
830,-4,-2,1,8,35,20,-13,-2,0
835,2,-4,6,-21,-5,12,2,-1,0
840,-3,1,4,-69,-38,-33,-8,-6,0
845,-2,17,-5,20,18,43,4,3,0
850,-7,11,0,57,16,91,-6,2,0
855,0,22,-5,19,-5,-9,31,0,0
860,1,11,4,-64,-14,-75,19,-1,0
865,1,-2,-4,40,9,57,13,-1,0
870,-3,-5,-3,60,10,66,-19,-11,0
875,-2,-6,-1,-27,-3,-63,-15,-9,0
880,2,-2,4,-71,-11,-75,7,2,0
885,-6,3,2,26,6,42,-6,-7,0
890,6,4,1,44,5,92,-11,1,0
895,-5,0,0,-35,-1,-45,5,3,0
900,-2,-8,0,-42,-14,-77,12,-3,0
905,-11,-3,1,20,-5,39,-1,-2,0
910,-7,-11,-5,32,13,68,-14,-1,0
915,4,3,4,6,-1,-50,5,5,0
920,7,-2,-1,-6,-8,-63,9,5,0
925,-4,-8,-7,23,12,38,-10,-3,0
930,0,-15,-4,23,10,40,-8,3,0
935,4,0,12,-24,-10,-50,-3,2,0
940,-2,5,-7,-5,-15,-26,-1,6,0
945,-1,-3,2,-2,8,35,-14,-6,0
950,-3,-1,7,-11,3,19,-6,-5,0
955,0,2,-5,-7,-4,-30,4,0,0
960,-1,5,0,-30,-2,-25,5,-9,0
965,-2,-7,-2,-3,0,-86,8,-8,0
970,-6,8,-2,4,4,-14,1,-9,0
975,-1,2,2,-39,-6,-38,2,0,0
980,-2,1,5,-46,0,4,6,4,0
985,-3,-4,1,-2,-4,-85,0,1,0
990,-3,-3,-1,9,1,7,2,-1,0
995,-4,14,-3,17,3,-4,7,4,0
1000,-2,2,3,4,98,70,-1,0,0
1005,-2,-17,1,18,115,-4,-7,-3,0
1010,4,-8,-7,34,127,-60,-14,2,0
1015,2,-1,-10,25,-83,109,-13,5,0
1020,0,3,-8,8,-128,111,-9,4,0
1025,-1,-7,1,-1,-128,20,-8,3,0
1030,-5,-4,1,0,-128,-55,-1,0,0
1035,-1,-6,0,-3,71,58,2,-4,0
1040,-4,-8,1,-6,50,84,8,-12,0
1045,3,-5,5,-14,81,12,1,1,0
1050,2,6,1,-12,23,-77,1,-1,0
1055,-1,15,-6,-6,120,44,-5,-5,0
1060,1,9,-3,-15,114,64,-1,-5,0
1065,-6,7,-8,-11,126,-14,-7,0,0
1070,5,6,1,14,66,-59,0,2,0
1075,1,8,2,7,109,33,-1,-4,0
1080,-6,0,0,2,127,39,-3,-2,0
1085,-7,-5,-4,8,55,-19,-8,-3,0
1090,0,-4,3,9,120,-11,-3,3,0
1095,-4,-1,-4,5,110,127,0,-1,0
1100,-3,14,-9,-4,106,127,-6,-1,0
1105,2,9,-3,-10,-5,127,0,2,0
1110,4,4,-4,-16,-99,49,-2,1,0
1115,-2,-8,5,-5,-128,-13,3,-1,0
1120,-3,-14,10,-1,-128,-58,10,-5,0
1125,2,-6,5,10,-127,-108,9,-6,0
1130,3,-2,9,6,-98,-115,6,1,0
1135,1,-2,3,1,-112,-78,1,-1,0
1140,-3,-4,-2,-3,-118,-59,-4,-1,0
1145,0,0,1,-7,-78,-68,-2,3,0
1150,4,1,-4,-4,-56,-62,4,-2,0
1155,0,-3,-4,-11,-51,-31,-6,1,0
1160,-5,-6,-2,-4,-63,-25,-11,1,0
1165,-4,-12,-5,-6,-33,-32,2,1,0
1170,1,-1,-5,8,-7,-34,2,-2,0
1175,-2,0,-3,6,-79,-14,-3,2,0
1180,-5,2,-2,-11,-114,-4,2,-5,0
1185,1,-2,-3,-2,-123,-15,-3,5,0
1190,-2,4,3,1,-95,-19,3,1,0
1195,2,5,-2,-3,15,-3,4,2,0
1200,-3,-7,8,0,81,-5,-5,-6,0
1205,2,-2,-3,-5,98,-1,-2,-3,0
1210,0,-6,0,-1,0,-3,-3,-2,0
1215,-1,2,6,-4,96,7,-6,-4,0
1220,-1,0,-6,-11,96,1,-11,-2,0
1225,3,-3,0,-13,48,-2,-5,4,0
1230,-3,-5,-8,10,-60,-7,3,2,0
1235,-2,6,-2,9,23,-3,5,-3,0
1240,-2,-1,3,-5,89,-1,5,-7,0
1245,-6,-11,-5,-1,-43,-6,1,-3,0
1250,-1,6,-4,-17,-48,-14,-4,0,0
1255,-3,-6,-1,0,4,-6,-4,5,0
1260,0,0,-3,9,31,-5,3,3,0
1265,-3,1,-2,3,-66,-5,2,-2,0
1270,-1,-9,1,3,-67,-4,-1,6,0
1275,1,1,1,15,-58,-2,2,-3,0
1280,-4,5,-12,-4,-60,6,-5,2,0
1285,4,0,-6,8,-82,-2,1,-6,0
1290,-3,-5,-5,-5,-61,2,-5,5,0
1295,0,-7,-3,-14,46,1,-6,0,0
1300,-1,-11,2,-5,30,5,-7,-2,0
1305,-5,-3,-5,3,-74,1,-1,-4,0
1310,1,-1,-1,0,-70,2,2,-1,0
1315,4,5,2,11,-11,3,-3,2,0
1320,0,-2,-3,-4,19,4,-4,0,0
1325,-4,1,3,0,4,-3,-3,3,0
1330,-1,4,-1,2,127,-9,-1,-4,0
1335,-4,2,5,-5,65,-5,0,-1,0
1340,-1,-7,0,3,38,-6,1,-6,0
1345,3,-3,-1,-2,82,9,-1,1,0
1350,-1,-2,6,-15,49,5,-4,6,0
1355,-2,0,-1,-11,-39,-8,-6,-5,0
1360,-2,2,-6,0,-81,-6,-1,-2,0
1365,0,8,-5,-1,31,5,9,2,0
1370,0,3,-2,5,29,3,6,-2,0
1375,4,2,-1,3,-16,-5,4,0,0
1380,-7,-9,-2,4,-53,-9,-2,-2,0
1385,-2,-1,2,5,24,-2,-1,-1,0
1390,2,-4,4,5,51,4,-1,1,0
1395,-6,-19,-9,-12,-38,-3,-5,-3,0
1400,-1,-8,-3,-13,-57,-1,-11,-9,0
1405,1,-1,1,-12,21,-2,-2,0,0
1410,-1,13,-1,-7,26,0,-1,5,0
1415,-3,1,4,4,-23,-5,-7,-5,0
1420,-2,-5,-2,4,-31,-3,-2,-3,0
1425,-3,7,-2,4,24,10,-4,-5,0
1430,1,1,-4,3,14,2,5,1,0
1435,-7,1,-9,-5,-19,0,-4,-3,0
1440,-5,2,-4,-2,-17,2,-6,-4,0
1445,1,-1,1,3,9,-3,0,4,0
1450,2,3,-1,0,12,-4,5,4,0
1455,-1,2,0,-1,-12,-3,-5,-9,0
1460,-2,3,-5,2,-15,2,3,-1,0
1465,-1,4,-4,-3,11,-1,-2,1,0
1470,3,5,-1,-5,9,-3,-2,-2,0
1475,-2,-8,-3,-8,-2,-2,6,1,0
1480,1,-7,4,-4,-10,0,0,-5,0
1485,3,-4,3,3,4,-7,0,2,0
1490,-2,-6,1,2,10,-5,4,-2,0
1495,1,-3,2,-1,-7,2,1,-8,0
1500,-3,-6,-6,-2,-11,2,1,-3,0
1505,2,-1,3,3,0,0,-1,-2,0
1510,-3,-1,3,-6,-3,-2,-3,-4,0
1515,5,-4,2,1,-1,2,-4,-3,0
1520,4,1,1,-3,-12,-1,-1,2,0
1525,-1,-1,6,-2,10,-1,1,-3,0
1530,-5,2,1,-3,-1,-3,-4,0,0
1535,-4,1,0,-4,-5,0,2,-6,0
1540,-2,2,-1,1,-5,2,3,3,0
1545,-2,4,2,-2,2,-7,3,0,0
1550,3,2,2,9,0,1,0,-3,0
1555,1,3,-1,1,-9,0,-1,0,0
1560,-3,1,-4,2,-7,5,-3,2,0
1565,3,2,-3,-2,2,4,0,5,0
1570,-2,2,-3,-8,6,0,0,-3,0
1575,-1,-6,-3,-6,-2,1,-5,-1,0
1580,-1,-3,-1,-1,-5,-6,0,-3,0
1585,-1,-4,-2,4,-1,-2,-2,-1,0
1590,1,3,3,4,5,-2,7,5,0
1595,-6,-3,-5,3,1,1,4,0,0
1600,2,-4,-6,-7,-7,0,-1,-3,0
1605,-2,-4,-1,1,1,-1,-4,-2,0
1610,0,1,3,7,-6,-6,-6,-1,0
1615,0,8,-4,3,0,-2,-3,3,0
1620,1,7,3,1,0,-1,0,-10,0
1625,-6,0,-3,-6,0,1,0,0,0
1630,-2,-9,-5,-4,-3,-2,-3,-4,0
1635,-2,-6,-7,-11,1,0,-11,1,0
1640,-6,-4,-4,0,2,-2,-1,1,0
1645,7,0,4,-2,1,-5,-3,-5,0
1650,0,4,-1,0,-2,6,2,2,0
1655,-5,3,0,1,-3,-2,0,-1,0
1660,-6,-2,0,2,4,-1,2,-1,0
1665,-5,-2,-5,7,6,-5,5,-5,0
1670,0,8,1,5,0,0,0,-1,0
1675,1,2,-7,0,-3,-5,-4,-5,0
1680,-7,-2,0,-8,-1,6,-3,2,0
1685,0,-9,-1,-9,-4,1,-6,0,0
1690,-1,-10,-3,-10,-1,-5,-9,-3,0
1695,1,-13,0,1,-2,-5,-3,-3,0
1700,0,-7,-1,-2,3,-8,0,-3,0
1705,2,5,3,0,0,0,4,3,0
1710,-3,4,0,-2,1,-2,8,1,0
1715,-6,-2,4,-3,3,0,2,-6,0
1720,-1,-5,3,4,4,-1,-2,-3,0
1725,0,5,2,10,-1,-1,1,9,0
1730,-1,-12,0,1,-1,-4,-1,0,0
1735,-8,-1,0,3,1,2,-4,-1,0
1740,0,-14,-9,-6,-1,2,-2,-4,0
1745,5,-2,-4,-5,-2,2,0,-3,0
1750,1,3,0,-3,0,6,1,0,0
1755,-6,-3,-3,-4,1,-3,-7,-11,0
1760,-7,-6,-7,-1,-2,-5,-4,-1,0
1765,6,7,3,-4,-5,1,1,8,0
1770,0,1,0,-2,-1,-5,-1,-1,0
1775,-4,2,-3,0,1,-2,2,-7,0
1780,-5,1,1,4,-6,-2,0,-1,0
1785,5,7,-1,-1,-2,-5,2,4,0
1790,5,6,2,1,-3,2,-3,7,0
1795,-3,-2,-4,-2,-2,-2,-1,-11,0
1800,-4,-2,-2,3,1,1,-17,-16,0
1805,2,14,-10,-1,-3,5,-6,1,0
1810,1,-2,-5,3,3,-1,-9,-11,0
1815,-6,13,-1,-6,-6,-4,6,-12,0
1820,-4,-24,6,-4,-5,-7,5,-3,0
1825,0,-7,-3,6,2,0,5,3,0
1830,1,7,8,-1,-6,3,1,4,0
1835,-2,-8,3,12,2,1,7,11,0
1840,-3,18,13,9,-1,3,-2,12,0
1845,5,-6,0,-13,0,-1,-6,0,0
1850,7,-15,0,4,1,-6,10,-7,0
1855,-1,-5,8,1,0,1,-4,2,0
1860,-3,-21,3,-18,0,0,-3,0,0
1865,-7,-3,-4,7,1,-2,-13,2,0
1870,-4,21,-10,-6,-4,-3,0,-10,0
1875,4,-1,6,1,-3,-5,4,-5,0
1880,-6,5,-9,2,7,3,4,3,0
1885,0,-9,3,-2,-4,-1,3,-2,0
1890,-2,4,1,1,2,-2,3,0,0
1895,4,-3,-3,0,-2,0,0,-1,0
