Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
10,-0.0439453,-0.70459,-0.823242,0
50,-0.0449219,-0.703613,-0.822754,0
70,-0.0419922,-0.703125,-0.818848,0
90,-0.0458984,-0.709473,-0.821777,0
110,-0.0419922,-0.703125,-0.821777,0
120,-0.0439453,-0.705566,-0.822266,0
120,-0.0429688,-0.706543,-0.823242,0
170,-0.0405273,-0.69873,-0.825195,0
190,-0.0463867,-0.70752,-0.818848,0
210,-0.0483398,-0.703613,-0.825195,0
230,-0.0444336,-0.94043,-0.961426,0
250,0.837891,0.0595703,-0.77002,0
270,0.0395508,-0.588867,-1.4248,0
290,-0.571777,-1.83545,-0.978516,0
310,0.602539,-2.05566,-0.0957031,0
330,0.209961,-2.23242,-0.277832,0
350,-0.764648,0.298828,-0.819824,0
370,-1.02197,-0.416504,-1.64502,0
390,-0.345703,-0.504883,0.0698242,0
410,-0.845703,-0.625977,-0.596191,0
430,0.174316,-0.839844,-0.365234,0
450,0.245117,-0.746582,-0.549316,0
470,0.470215,-0.641602,-1.11133,0
490,0.248535,-0.466797,-1.02734,0
510,-0.260254,-0.37793,-1.00342,0
530,-0.40918,-0.427734,-0.661133,0
550,-0.21582,-0.37207,-0.827637,0
570,-0.130371,-0.322266,-0.956543,0
590,-0.180176,-0.175293,-0.837891,0
610,-0.322266,-0.132324,-0.875488,0
630,-0.30127,-0.111816,-0.933594,0
650,-0.272461,0.00976562,-1.08105,0
670,-0.263672,0.177246,-1.12305,0
690,-0.22998,0.319824,-1.19971,0
710,-0.0756836,0.279785,-0.930176,0
730,-0.267578,0.394043,-0.879883,0
750,-0.441406,0.0810547,-1.13281,0
770,-0.232422,0.682129,-1.21289,0
790,-0.306641,0.941895,-1.21387,0
810,-0.422852,0.823242,-0.806152,0
830,-0.150879,0.684082,-0.769043,0
850,-0.0336914,0.945801,-0.668457,0
870,0.14502,0.663574,-0.477051,0
890,-0.03125,0.515137,-0.0585938,0
910,0.226562,0.626953,0.074707,0
930,0.28125,0.789551,0.337891,0
950,0.0996094,0.543457,0.687988,0
970,-0.0102539,0.298828,0.79541,0
990,-0.283203,0.432617,0.446777,0
1010,-0.796387,0.831055,-0.313965,0
1030,-0.623535,1.06982,-0.451172,0
1040,-0.31543,1.01709,-0.552734,0
1060,-0.186523,0.872559,-0.770996,0
1080,-0.0888672,0.853027,-1.06885,0
1100,-0.0141602,0.898926,-0.729492,0
1120,-0.0830078,0.974121,-0.595215,0
1140,-0.442383,0.769043,-0.410645,0
1160,-0.348633,0.797363,-0.368164,0
1180,-0.0102539,0.847656,-0.428711,0
1200,0.14209,0.890625,-0.511719,0
1220,-0.0419922,0.778809,-0.598145,0
1240,0.169434,0.694336,-0.690918,0
1260,0.0615234,0.789551,-0.901367,0
1280,-0.0322266,0.765625,-1.00439,0
1300,-0.0800781,0.575195,-1.1665,0
1320,0.0878906,0.478027,-1.1582,0
1340,0.243652,0.489746,-1.04932,0
1360,0.338379,0.69873,-1.03223,0
1380,0.224121,0.730957,-1.04883,0
1400,0.128418,0.711426,-0.955566,0
1420,0.200195,0.76416,-1.05566,0
1440,0,0.827637,-0.995117,0
1460,-0.147949,0.825684,-0.735352,0
1480,-0.186035,0.754883,-0.519043,0
1500,-0.321777,0.760742,-0.243164,0
1520,-0.495117,0.752441,-0.0361328,0
