Timestamp, Rotation x, Rotation y, Rotation z
3510,20.0625,78.125,68.125,
3530,18.125,73,58.5,
3550,18.5,72.125,46.1875,
3570,19.3125,72.125,41.625,
3590,24.0625,71,35.75,
3610,12.375,69.125,22.9375,
3630,-10.9375,70.25,10.1875,
3650,-11.125,65.8125,4.0625,
3670,3.5,59.125,-4.75,
3690,2.5625,53.375,-14.5,
3710,-7.4375,51.75,-23,
3730,-4.1875,54.9375,-28,
3750,8.1875,51.5,-31.6875,
3770,12.8125,46.75,-38.5625,
3790,6.6875,43.9375,-47.3125,
3810,4.125,41.4375,-52.0625,
3830,8.0625,34.1875,-53.875,
3850,7.5,25.125,-54.6875,
3870,11.9375,15.75,-58.375,
3890,10.1875,7.5,-60.75,
3910,8.5,-1.875,-61.5625,
3930,7.75,-12.5,-61.0625,
3950,2.3125,-22.4375,-62.875,
3970,-2.3125,-31.875,-60,
3990,-3.4375,-40.1875,-56.6875,
4010,-3.8125,-45.0625,-54.875,
4030,-1.0625,-52.8125,-49.8125,
4050,-2.1875,-59.0625,-43.9375,
4070,-5.3125,-62.5625,-37.6875,
4090,-6.5,-62.5625,-30.6875,
4100,-6.125,-62.4375,-22.25,
4120,-0.25,-63.9375,-12.5625,
4140,4.1875,-65.75,-4.1875,
4160,2.375,-63.5625,3.1875,
4180,-4.0625,-59.5625,11.9375,
4200,-5.5,-55.5625,21.4375,
4220,-2.8125,-50,29.75,
4240,-1.3125,-44,38.3125,
4260,1.3125,-36.25,44.625,
4280,-1.8125,-31.4375,50.625,
4300,-5.125,-28.5,56.6875,
4320,-10.5625,-24.1875,63,
4340,-9.3125,-17,66.75,
4360,-9.4375,-10.75,69.625,
4380,-10.8125,-6.3125,70.5625,
4400,-12.3125,2.75,72.9375,
4420,-6.8125,10,74.5,
4440,-4.0625,16.8125,74.3125,
4460,-8.3125,26.5,70.0625,
4480,-4.625,32.875,65.4375,
4500,7.5625,44.5,61.75,
4520,20.125,51.1875,55.8125,
4540,5.875,54,50.125,
4560,-20.1875,54.125,44.875,
4580,-25.0625,59.9375,37.75,
4600,-0.8125,63,35.4375,
4620,25.0625,62.125,27.1875,
4640,21.125,60.4375,12.9375,
4660,-1.1875,61.5,-2.875,
4680,4.875,60.25,-12.1875,
4700,18.5,58.0625,-24.0625,
4720,15.5,54.6875,-33.9375,
4740,12.125,51.6875,-47.0625,
4760,17.25,50.125,-57.3125,
4780,32.875,42.75,-64.25,
4800,27.5625,29.5,-71,
4820,16.1875,16.875,-80.0625,
4840,11.5,6.5,-88.125,
4860,16.4375,-1.6875,-93.6875,
4880,20.0625,-15.9375,-96.0625,
4900,22.625,-28,-97.5,
4920,27.4375,-39.6875,-96.25,
4940,28.3125,-46.5,-93.0625,
4960,29.875,-52.125,-83.25,
4980,36.5,-57.25,-69.0625,
5000,45.375,-60.5625,-58,
5020,53.625,-61.375,-45.3125,
5040,54.5625,-65.4375,-30.0625,
5060,46.0625,-69,-15.625,
5080,35.625,-69.5625,-4.875,
5100,29.1875,-68.5625,5.875,
5120,23.8125,-65.875,17.6875,
5140,17.75,-60.8125,28.375,
5160,12.625,-59.3125,36.5,
5180,7.8125,-55.75,42.625,
5200,5.75,-53,48.5625,
5220,1.375,-47.8125,54.8125,
5240,-1.3125,-41.625,62.1875,
5260,-3.625,-36.375,68.125,
5280,-11.6875,-30.375,72.5,
5300,-23.0625,-20.875,74.0625,
5320,-34.25,-9.6875,77.25,
5340,-35.4375,0.0625,78.6875,
5360,-24.4375,10.125,79.25,
5380,-14.9375,24.5,78.9375,
5400,-10.75,37.0625,81.75,
5420,-3.8125,43.625,82.625,
5440,-6.8125,51.9375,75.4375,
5460,-19.0625,63.0625,68.875,
5480,-21.75,66.6875,68.0625,
5500,-2.5625,68.625,63.375,
5520,2.375,67.1875,53.5,
5540,-14.75,66.0625,40.4375,
5560,-25.5,64.6875,26.375,
5580,-15.5,62.4375,17,
5600,2.5625,60.5625,6.3125,
5620,7.375,60.25,-7.8125,
5640,7.625,58.8125,-23.5625,
5660,13.625,52.75,-33.5,
5680,14.5,45.5625,-40.1875,
5700,18.125,38.875,-47.25,
5720,14.8125,36.375,-55.1875,
5740,16.125,32.9375,-60.0625,
5760,32.0625,22.4375,-60.75,
5780,40.375,9.3125,-62.4375,
5800,30.3125,0.3125,-66.1875,
5820,20.1875,-11.5625,-66.5,
5840,16.6875,-21.3125,-66.0625,
5860,10.25,-30.3125,-64.0625,
5880,10.8125,-40.8125,-60.5625,
5900,9.9375,-50.3125,-57.5625,
5920,6.3125,-57.25,-55.875,
5940,5,-64.125,-50.8125,
5960,5.3125,-69.625,-43.625,
5980,10.4375,-73.4375,-35.5,
6000,11.25,-72.625,-28.5625,
6020,16.0625,-69.6875,-20.4375,
6040,30.6875,-65.1875,-10.8125,
6060,47.6875,-61.125,3.125,
6080,48.625,-58.3125,15.25,
6100,28.5625,-54.75,24,
6120,10.375,-50.9375,28.125,
6140,9.875,-46.9375,33.5625,
6160,15.4375,-42.5625,40.0625,
6180,15.1875,-34,47.875,
6200,10.8125,-26.5,57.4375,
6220,7.1875,-18.125,67.0625,
6240,-1.25,-11.625,76.3125,
6260,-12,-2.375,80,
6280,-18,8.9375,80.5625,
6300,-16.125,16.125,82.5,
6320,-12.125,25.375,84,
6340,-11,38.875,81.75,
6360,-12.8125,54.4375,78.1875,
6380,-8.375,63.75,79.0625,
6400,7.6875,78.3125,74.3125,
