Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
118471,1,-2,2,-2,1,1,-1,3,
118471,-4,-9,-6,-3,9,2,-3,-1,
118477,-4,-3,-7,-1,-10,-7,0,0,
118477,0,-4,2,-3,-5,0,0,1,
118485,0,4,0,0,3,2,3,-2,
118485,5,0,1,4,-1,-2,1,-4,
118501,-3,0,2,3,-2,3,-3,1,
118501,-4,-5,-1,3,3,-1,-4,5,
118508,-1,-3,1,-7,-2,-5,-1,-3,
118508,-2,-1,-3,-2,-2,0,2,1,
118522,-3,0,0,5,4,-2,2,-10,
118522,-1,0,0,-3,-3,0,-8,-3,
118531,-7,-10,-3,-3,-6,1,-3,-6,
118531,-4,-2,-6,-9,-7,1,-1,-1,
118537,1,0,2,-1,-2,-4,-1,0,
118537,2,-1,0,-1,5,-4,-3,-4,
118545,6,0,-6,2,3,3,5,-4,
118545,-3,-2,-4,0,1,2,1,-8,
118561,-4,-4,-7,-6,-1,-2,4,2,
118561,-2,1,0,-1,-2,-5,-1,-4,
118568,0,-2,-3,-10,-8,-3,-2,1,
118568,-2,-6,-3,-9,-11,-5,-6,0,
118583,-1,1,1,-2,2,-3,-3,1,
118583,1,3,-2,-3,-2,-7,-3,-4,
118591,-2,-1,-2,0,4,0,-2,3,
118591,-1,-2,0,0,-2,-1,-5,-3,
118598,2,-2,-1,-3,0,-4,-7,1,
118598,1,4,4,-3,-6,-5,1,1,
118613,-3,0,-3,1,-1,-2,2,-4,
118613,0,0,-3,2,9,-2,0,2,
118620,2,-2,-1,-1,0,-2,-2,0,
118620,-2,-3,-3,-2,-4,-4,3,1,
118628,-2,-1,-2,-2,-3,-1,-2,1,
118628,-2,-1,3,-5,-8,-3,3,-1,
118643,2,0,-3,3,0,-1,2,1,
118643,1,-1,-1,3,7,2,4,-5,
118651,2,-4,-3,-1,0,1,-4,-1,
118651,0,1,-1,-4,-11,-1,-3,1,
118658,3,1,6,-1,-1,-3,-6,2,
118658,-4,1,-3,-5,-11,-3,-4,-5,
118673,2,1,-4,-4,-3,4,2,2,
118673,0,0,0,4,0,-1,0,-6,
118680,-1,-3,-4,1,2,-4,-5,3,
118680,3,4,1,0,-2,2,-2,3,
118688,0,-2,-2,0,0,1,2,2,
118688,-4,-7,-2,-5,-3,0,2,1,
118703,-3,-1,-3,-4,-6,-3,1,2,
118703,2,2,3,3,6,0,-1,1,
118711,0,-5,-1,-5,-1,-3,1,-6,
118711,0,1,-2,-2,5,4,1,4,
118717,-2,3,3,5,3,-3,-4,-6,
118717,1,-1,2,5,1,-2,-3,-7,
118733,-7,-4,-9,0,2,2,5,0,
118733,0,-3,1,1,-3,-3,-4,-2,
118741,-6,-1,0,-7,-7,0,-1,-3,
118741,3,3,0,2,2,4,-1,6,
118748,-3,-1,1,-7,-7,-8,-1,2,
118748,0,1,-5,1,-4,-1,-3,3,
118762,-2,-2,-5,-2,-11,0,-6,-4,
118762,-2,0,2,3,2,-6,-7,-2,
118771,-1,-3,-3,-4,-7,-1,1,-2,
118771,-2,0,-3,-2,1,1,3,-2,
118777,0,0,3,2,3,-2,-2,-5,
118777,0,-6,-3,-2,5,2,1,0,
118793,-1,0,0,0,-5,-4,2,2,
118793,-3,-2,-2,1,6,3,1,-1,
118800,1,-3,-3,-1,6,0,3,0,
118800,-2,1,-4,-8,-13,-2,-7,-2,
118808,-2,-1,1,1,1,1,-7,-2,
118808,-2,-3,0,-3,-1,-7,-5,-3,
118823,-2,1,-2,-4,-5,5,2,1,
118823,2,3,2,3,-2,-4,-1,1,
118831,3,-2,1,1,0,0,-2,-4,
118831,2,1,-4,-2,-1,1,1,0,
118838,-3,5,-2,-6,-3,2,-2,-2,
118838,-3,-6,1,-1,-4,-8,-3,-3,
118853,-1,0,-1,-4,-6,-4,-3,-5,
118853,-2,-5,-4,-4,-5,-1,0,5,
118860,-1,-1,-6,-8,-6,2,2,-8,
118860,1,5,1,-5,-2,-2,-4,-2,
118868,3,-1,-3,0,-2,-1,-3,0,
118868,-4,-5,-4,-3,-1,2,2,-1,
118883,-3,-2,1,2,6,0,-2,-1,
118883,-4,2,0,1,-2,0,0,-4,
118891,1,-1,0,5,1,3,-1,3,
118891,-2,-3,1,-10,-1,-4,-1,-6,
118897,-1,-3,-2,3,4,3,4,0,
118897,-1,-1,4,-1,-5,-3,-5,-1,
118913,1,-4,4,0,-1,-7,1,-2,
118913,-3,0,-3,0,-4,-2,3,1,
118920,-5,-5,-5,-2,0,-4,-3,-1,
118920,1,1,-1,3,9,2,-2,-2,
118927,-1,3,-1,-4,-3,-3,2,1,
118927,-3,-6,-2,0,-2,-2,-1,-1,
118943,4,-5,-1,-3,-9,-4,-2,4,
118943,1,-2,-3,-2,1,-1,1,2,
118951,3,2,3,-1,-3,-3,-7,-3,
118951,-3,4,-6,1,0,1,-7,-1,
118965,3,0,2,0,5,4,6,4,
118965,2,-3,-1,1,1,-2,0,-2,
118974,1,5,-2,0,-1,0,-4,3,
118974,2,2,1,4,-5,-1,2,1,
118988,2,-2,-3,-6,-4,4,4,-1,
118988,4,2,-1,3,1,-3,4,1,
118989,-2,-7,-4,0,4,0,0,-1,
118989,-3,2,0,4,2,1,-1,-4,
119002,1,0,-6,-5,4,3,-2,-3,
119002,0,3,2,0,1,-1,-1,-3,
119011,-5,-1,-2,-1,1,-3,-5,-3,
119011,3,-7,4,1,3,4,0,-1,
119025,2,-5,-1,4,2,-4,-2,-2,
119025,2,4,2,4,-1,-4,-1,-3,
119033,2,0,1,1,2,2,-2,0,
119033,-3,0,-5,-1,1,0,5,-2,
119049,-2,-3,-2,3,0,0,3,4,
119049,4,2,-1,0,0,0,-7,-5,
119049,-4,-2,-7,4,4,-2,-3,2,
119049,-4,-5,-7,-5,4,1,2,3,
119062,-4,-1,1,-4,2,4,-1,2,
119062,-9,-5,2,-1,6,-2,-4,2,
119071,2,2,3,-2,-2,3,-2,-6,
119071,2,-10,-6,-3,2,1,4,2,
119085,1,-2,0,0,-7,-3,-1,-1,
119085,3,8,2,1,-4,0,-1,2,
119093,-1,1,-2,-4,-2,-5,1,3,
119093,-4,-2,-1,1,-5,-1,-2,-5,
119108,-2,0,-3,0,1,0,1,-2,
119108,5,-2,5,1,0,0,-3,-4,
119109,-1,-1,-3,1,2,-1,0,-8,
119109,-5,-1,-3,-7,-6,1,2,-2,
119122,2,1,-2,-3,-2,5,-4,2,
119122,1,2,0,0,1,-4,-4,-2,
119131,-2,3,2,0,4,-2,-6,-3,
119131,-4,0,-7,-4,-3,3,-5,-1,
119145,1,-3,2,-1,-7,1,3,-5,
119145,4,6,3,6,4,-2,-6,-4,
119154,0,3,-2,-2,-2,-3,-2,-3,
119154,-2,-1,-3,-2,1,-3,0,1,
119168,-2,-7,-4,0,2,0,-4,-4,
119168,1,0,-1,-1,-6,-2,-6,-1,
119169,2,0,2,6,1,0,2,-1,
119169,-2,3,-1,2,1,4,-1,-3,
119183,-1,4,-1,-1,-6,-3,-1,-3,
119183,3,3,-2,0,1,1,0,3,
119191,-5,-2,-2,-6,-4,5,3,0,
119191,1,-3,-1,-2,-3,0,0,-1,
119205,-4,-6,-8,0,-3,-3,-3,1,
119205,-1,7,0,2,0,1,0,2,
119213,0,1,0,-4,-6,1,3,-1,
119213,-1,0,1,3,0,4,6,1,
119229,-4,-2,1,-4,-4,-6,2,-5,
119229,2,6,11,2,0,-3,-5,-4,
119229,-2,-1,-5,-3,-2,-1,-2,0,
119229,3,-2,-4,-6,-5,-4,-2,-3,
119243,9,6,-3,4,-6,0,-6,2,
119243,0,5,1,-2,-2,-4,-3,-3,
119251,0,-3,-1,-2,1,-2,0,-1,
119251,0,-3,-6,-8,-5,-2,-5,-2,
119265,-3,-3,3,-2,2,2,-3,3,
119265,2,3,3,0,0,-6,-6,4,
119274,-3,-5,-5,-2,2,-5,-6,2,
119274,-2,-3,-1,-3,-6,-1,1,0,
119288,-8,-2,-4,-7,-4,-5,2,-3,
119288,-3,0,3,3,2,0,-1,-3,
119297,0,2,-4,1,-6,-4,-5,-3,
119297,-1,-5,0,-5,-2,-3,2,-1,
119303,3,-2,2,-11,-12,1,-4,-7,
119303,1,0,0,6,4,0,-5,-2,
119311,3,1,1,-3,-9,-3,0,1,
119311,0,-4,-11,-3,8,-1,0,4,
119325,1,1,-5,3,2,-3,2,-1,
119325,0,0,2,2,-6,-4,0,6,
119334,-1,5,1,-1,-4,-2,-1,3,
119334,-2,-5,-7,-5,-7,-1,-3,0,
119348,-5,3,2,0,1,1,5,-1,
119348,0,-3,-3,-3,1,-5,-3,-6,
119357,-4,-7,1,-5,-7,-2,-6,-7,
119357,1,-4,2,-1,-8,-2,2,3,
119363,0,-1,-2,-6,-5,-2,0,4,
119363,1,3,2,-1,-2,-4,-1,-4,
119372,1,-3,6,3,-1,2,2,-2,
119372,-4,0,-4,-4,-5,-1,-3,-9,
119385,2,-5,-4,0,-2,2,-3,1,
119385,5,-1,-4,1,6,0,-1,-4,
119394,-2,-3,-1,-5,0,-3,-2,-2,
119394,-4,0,-2,-2,-7,1,-5,3,
119408,-1,-6,-6,-6,3,-3,-2,1,
119408,0,1,1,-3,-2,-1,-6,0,
119417,6,6,3,0,-7,-7,-3,3,
119417,-4,-6,-2,-8,-5,-3,0,-3,
119423,-7,-7,-2,-6,-5,-6,0,-2,
119423,-2,4,1,-4,-1,-6,-3,-1,
119431,0,-7,3,1,2,-6,-2,-2,
119431,3,0,2,1,-1,-2,1,1,
119445,-6,-6,-1,-2,-3,-3,-6,-3,
119445,2,1,3,-2,-7,-4,-2,1,
119454,-5,2,0,-1,-1,-1,-4,0,
119454,-5,-6,-5,-5,-6,-1,4,0,
119468,1,-2,-1,2,11,3,0,-6,
119468,-2,-5,0,2,0,-3,-4,0,
119477,-1,1,-3,-1,2,1,0,0,
119477,-4,-1,-1,2,5,3,1,3,
119483,-2,-4,-2,4,5,-1,2,-2,
119483,1,-1,-1,1,-5,-7,-3,-4,
119491,2,-1,3,-12,-9,-3,0,-2,
119491,-1,-4,-2,-9,-9,-3,-2,-6,
119505,-1,1,-7,-4,-6,0,-1,1,
119505,3,3,2,2,7,-2,-2,-1,
119514,4,0,-1,3,-1,-6,-5,-2,
119514,5,0,-1,3,6,-2,-3,-1,
119528,1,0,-2,-7,-8,-2,-2,0,
119528,-5,-1,1,2,-1,0,0,-1,
119537,2,3,-1,1,11,9,-1,3,
119537,-6,0,-2,-4,-5,-3,-1,-1,
119543,-3,-1,-3,-4,1,-1,-4,-3,
119543,4,4,5,1,-8,1,-5,3,
119551,-4,-8,-5,-2,-3,-2,-2,-4,
119551,-5,-7,-7,-4,-1,1,-1,0,
119565,-2,-1,1,2,-3,-4,5,-1,
119565,2,-2,-2,-1,2,-1,-4,1,
119574,-1,-2,2,-2,-2,1,1,0,
119574,-4,0,0,-7,-5,-2,-1,-6,
119587,1,-2,-2,-3,-9,-3,0,-1,
119587,0,4,2,0,-1,1,-1,3,
119597,3,3,-2,1,-3,5,1,6,
