Timestamp, Angle x, Angle y, Angle z
4965,0.132902,-0.0404189,-0.644817,
4988,0.128495,-0.0458165,-0.652886,
5010,0.124178,-0.0529465,-0.660436,
5025,0.120182,-0.0613627,-0.669641,
5048,0.116822,-0.0706817,-0.680982,
5070,0.113963,-0.082219,-0.696335,
5108,0.113872,-0.0936654,-0.713956,
5117,0.114015,-0.105359,-0.732383,
5130,0.117319,-0.117336,-0.751582,
5145,0.121327,-0.129479,-0.770451,
5169,0.126756,-0.140456,-0.788484,
5190,0.13337,-0.150449,-0.805519,
5227,0.139935,-0.159655,-0.821938,
5237,0.146374,-0.167732,-0.837602,
5243,0.153122,-0.176739,-0.853,
5266,0.160921,-0.186598,-0.86879,
5288,0.169224,-0.196482,-0.884567,
5303,0.177895,-0.205926,-0.900002,
5326,0.188735,-0.21672,-0.916545,
5348,0.199059,-0.227692,-0.934406,
5362,0.207939,-0.239017,-0.953853,
5385,0.223685,-0.251585,-0.979497,
5408,0.243644,-0.266332,-1.00889,
5422,0.27168,-0.282774,-1.04368,
5445,0.30889,-0.301346,-1.08827,
5468,0.3594,-0.320528,-1.13282,
5484,0.374399,-0.347009,-1.1752,
5506,0.35304,-0.357338,-1.1986,
5528,0.326792,-0.359296,-1.2006,
5543,0.30799,-0.35547,-1.19479,
5565,0.300167,-0.35349,-1.17739,
5588,0.290362,-0.353796,-1.16018,
5603,0.280399,-0.350777,-1.14073,
5625,0.27216,-0.345373,-1.118,
5648,0.267094,-0.331573,-1.0857,
5664,0.266271,-0.303449,-1.03321,
5685,0.278322,-0.264334,-0.966019,
5708,0.286846,-0.21999,-0.890549,
5723,0.28593,-0.167003,-0.812882,
5745,0.275648,-0.107771,-0.749236,
5768,0.259039,-0.0394721,-0.695078,
5784,0.246191,0.0199006,-0.645877,
5806,0.248397,0.0788492,-0.607307,
5828,0.264485,0.149237,-0.585097,
5844,0.269552,0.206876,-0.572385,
5865,0.21152,0.264693,-0.548792,
5888,0.166587,0.276717,-0.51586,
5904,0.147953,0.272572,-0.501341,
5925,0.138804,0.2582,-0.507543,
5948,0.146486,0.246724,-0.516622,
5964,0.162299,0.23998,-0.527976,
5985,0.167504,0.231085,-0.540997,
6008,0.153838,0.225249,-0.549086,
6024,0.142868,0.222915,-0.549811,
6045,0.145491,0.221953,-0.54922,
6068,0.154965,0.222396,-0.54683,
6083,0.158236,0.227077,-0.546025,
6105,0.15334,0.229929,-0.547647,
6128,0.133505,0.228919,-0.550098,
6144,0.0904815,0.217018,-0.56156,
6165,0.0590506,0.197735,-0.580788,
6188,0.0498385,0.171605,-0.609266,
6210,0.0469739,0.140743,-0.638649,
6226,0.028493,0.109612,-0.669604,
6249,0.010524,0.0893263,-0.691683,
6270,0.00556741,0.0808647,-0.703616,
6286,0.0035744,0.0837786,-0.703843,
6309,-0.00173167,0.0867494,-0.702039,
6330,-0.00825904,0.0912406,-0.700733,
6346,-0.0125564,0.0955006,-0.698314,
6369,-0.0111913,0.103841,-0.691424,
6390,-0.0104023,0.114107,-0.681368,
6406,-0.00658933,0.12794,-0.669057,
6429,-0.00196217,0.145642,-0.654419,
6450,0.00549356,0.168407,-0.635337,
6466,0.0144,0.191614,-0.615884,
6489,0.0246834,0.215379,-0.599459,
6511,0.0434401,0.235744,-0.586346,
6526,0.0562459,0.254136,-0.576352,
6549,0.0530788,0.268261,-0.567635,
6571,0.0523019,0.283254,-0.557528,
6586,0.0535765,0.299447,-0.547193,
6609,0.0567932,0.314872,-0.536827,
6631,0.0640703,0.327585,-0.530746,
6646,0.0735022,0.337892,-0.530891,
6670,0.0820497,0.345033,-0.535482,
6690,0.0922771,0.349282,-0.545732,
6706,0.10335,0.35807,-0.556459,
6729,0.107868,0.369014,-0.564485,
6750,0.109813,0.383174,-0.569235,
6766,0.111084,0.400635,-0.570234,
6788,0.111153,0.420088,-0.567844,
6810,0.113045,0.43901,-0.562758,
6826,0.117347,0.455998,-0.556208,
6848,0.125052,0.474068,-0.544387,
6872,0.128537,0.489727,-0.53199,
6886,0.128873,0.50342,-0.52078,
6908,0.128014,0.513907,-0.51319,
6932,0.124774,0.518853,-0.509157,
6946,0.121236,0.517406,-0.509509,
6969,0.119069,0.510936,-0.513522,
6992,0.120018,0.50298,-0.518354,
