Timestamp, Rotation x, Rotation y, Rotation z
3180,-14.9375,31.8125,-8.0625
3200,-42.8125,6.3125,6.3125
3220,-55.875,-7.3125,-40.875
3240,-81.375,-15.625,-29.4375
3260,-90.75,-1.5,-3.125
3280,-73.3125,-1.375,12.0625
3300,-67.125,-2,4.6875
3320,-47.4375,13.6875,16.0625
3340,-19.6875,37.375,35.25
3360,-0.25,48.9375,53
3380,-8.3125,49.1875,52.4375
3400,-20.6875,51.625,55
3420,-28.9375,54.6875,56.5
3440,-39.9375,65.375,82.6875
3460,-61,96.25,95.1875
3480,-100.75,102,96
3500,-73.25,100.313,146.938
3520,-46.25,93.5625,135.625
3540,-81.3125,69.375,123.5
3560,-70.4375,46.25,101.188
3580,-52.125,36.0625,90.0625
3600,-55.1875,28.875,66.125
3620,-59.875,24.5,60.1875
3640,-56.6875,12.125,50.5
3660,-73.8125,13.3125,52.3125
3680,-96.5,22.75,59.75
3700,-62.375,9.5625,81.625
3720,-29.1875,-5.3125,79.0625
3740,-71.8125,24.375,60.375
3760,-89.1875,62.0625,62.4375
3780,-30.1875,32.6875,77.4375
3790,13.5625,-16.125,67.375
3810,58.75,-72,46.4375
3830,41.875,-66.25,15.125
3850,10.125,-73.3125,-1.5
3870,-7.5625,-91.625,-25.0625
3890,1.5,-106.938,-52.375
3910,-38.4375,-135.688,-70.125
3930,8.6875,-116.063,-22.75
3950,-3.6875,-112.125,-24.9375
3970,21.4375,-147.563,-49.1875
3990,-3.5,-149.75,-51.25
4010,-48.625,-130.563,-67.5625
4030,-25.125,-139.438,-49.875
4050,-1.1875,-138.813,-20.375
4070,74.5,-156.563,-13.4375
4090,91.25,-196.688,2.8125
4110,75,-212.25,5.25
4130,112.313,-218.813,92.5
4150,192.563,-151.938,167.875
4170,183.5,-154.625,124.438
4190,72.125,-52.375,58.125
4210,-23.4375,24.6875,-30.4375
4230,-46.875,52.5,13.5625
4250,-34.875,85.75,23.6875
4270,8.5,102.938,-1.6875
4290,76.625,127.375,10.5
4310,68.75,48.625,54.9375
4330,53.8125,-69.875,139.375
4350,91.0625,-136.188,80.625
4370,85.0625,-178.813,-9.375
4390,43.6875,-128.5,-11.125
4410,28.3125,-162.625,-13.375
4430,54.5625,-182.063,-32.8125
4450,99.0625,-144.563,-37.375
4470,44.8125,-101.25,7.875
4490,-21.1875,-150.875,40.9375
4510,-32.875,-151.125,-22.8125
4530,-30.875,-157.813,-27.625
4550,-48.4375,-145.938,-49.375
4570,-21.0625,-129.188,-61.4375
4590,-92.1875,-100.563,25.75
4610,-39.375,-12.0625,-26.625
4630,-50.5625,-63.1875,17.8125
4650,65.4375,-135.438,11.0625
4670,141.875,-161.938,-4
4690,172.438,-145.188,17.5
4710,151.688,-155.375,37.1875
4730,37.4375,-189.875,36
4750,-58.75,-314.063,-74.1875
4770,45.625,-340.5,-110.813
4790,65.375,-300.5,-47.5
4810,-2.25,-139.563,38.625
4830,19.25,-39.9375,61.625
4850,-4.0625,-48.5,-13.75
4870,-1.875,-127.5,-88.625
4890,31.75,-71.3125,-52.6875
4910,-10.25,-42.75,-39.0625
4930,12.8125,-61.4375,-43.3125
4950,2.6875,-106.875,-92.0625
4970,1.3125,-220.75,-139.688
4990,0.3125,-247.5,-137.375
5010,-8.75,-162.938,-119.188
5030,0.625,-62.6875,-83.9375
5050,37.8125,-80.5625,-63.5
5070,28.25,-143,-63.9375
5090,-8,-193.25,-51.4375
5110,-44.875,-193.313,-10.75
5130,-75,-158.75,4.125
5150,-67.375,-32.9375,-19.375
5170,-87.875,24.25,-24.0625
5190,-73.3125,8.0625,-33.375
5210,-44.375,-17.5625,-43.625
5230,-25.1875,-28.1875,-15.625
5250,-4.0625,-47.875,8
5270,-16.75,-37.3125,39.9375
5290,-30.6875,11.625,44.6875
5310,-47.8125,23.25,21.875
5330,-34,-2.5,-6.1875
5350,-31.625,-26.4375,-8.9375
5370,-28.3125,2.875,4.8125
5390,-13.1875,-7.125,26.5625
5410,7.1875,-11.5625,39.0625
5430,14.3125,15.4375,37.5625
5450,25.1875,23.375,35.25
5470,38.375,-3.375,32.875
5490,109,101.125,83.4375
5510,12.1875,28.125,-27.5625
5530,45.8125,1.875,-11.4375
5550,33.375,-24.9375,-10.125
5570,2.1875,-13.875,-9.125
5590,-17.5625,-5.0625,-6
5610,-31.25,-14.4375,-16.125
5630,-21.6875,-31.625,-21.8125
5650,-25.1875,-29.0625,-22.4375
5670,-20.875,-29.3125,-18.125
5690,-21.5,-20.75,-12.875
5710,-14.25,-20.0625,-14.75
5730,0.625,-25.9375,-20.125
5750,10.5,-28.1875,-24.9375
5770,9.8125,-13.5,-19
5790,11.25,0.75,-8.1875
5810,9.75,2.875,-6.375
5830,10.4375,7.9375,-3.4375
5850,11.5625,10.375,4.5625
5870,14.1875,10.1875,5.875
5890,18.625,2.75,0.625
5910,12.875,3.875,6.9375
5930,3.5,10.3125,14.375
5950,1.8125,11.625,8.625
5970,-8.3125,6.875,3.3125
5990,-11.5,5.25,5
6010,-13.875,-1.875,4.75
6030,-5.1875,-2.6875,5.25
6050,-3.75,1,8.9375
6070,0.0625,-2.3125,7.0625
6090,1.4375,-2.75,6.125
6110,-0.25,-1.375,5.6875
6130,2,-2.5625,2.0625
6150,3.625,-1.125,0.6875
6170,6,-3.375,-0.5625
6190,4.875,-1.0625,-1.625
6210,2.9375,0.625,-1.125
6230,1.5,-0.75,-0.8125
6250,-3.25,-2.75,-0.5
6270,-7.1875,-4.75,-3.5625
6290,-8.125,-6.125,-4.4375
6310,-5.125,-6.5,-2.9375
6330,-1.6875,-3.25,2.6875
6350,3.5625,1.25,2.0625
6360,4,1.625,3.1875
6380,3.6875,2,4.75
6400,0.875,0.5625,3.125
