Timestamp, Angle x, Angle y, Angle z
2800,2.2487,0.357532,-1.86171,
2820,2.24837,0.391194,-1.88715,
2840,2.24717,0.417002,-1.90124,
2860,2.25787,0.427284,-1.9056,
2880,2.26966,0.424298,-1.91498,
2900,2.27226,0.413739,-1.94112,
2920,2.26818,0.405939,-1.97046,
2940,2.24879,0.405363,-2.00916,
2960,2.2195,0.415878,-2.03946,
2980,2.19816,0.426982,-2.07575,
3000,2.20107,0.438951,-2.1059,
3020,2.21062,0.445407,-2.13617,
3040,2.21082,0.446618,-2.15753,
3060,2.20397,0.4503,-2.17213,
3080,2.18536,0.46065,-2.18372,
3100,2.16728,0.479894,-2.19191,
3120,2.13374,0.499075,-2.20342,
3140,2.0853,0.510897,-2.21911,
3160,2.05691,0.519595,-2.23677,
3180,2.01036,0.534874,-2.26194,
3200,1.97078,0.545083,-2.29393,
3220,1.96786,0.553769,-2.31262,
3240,1.94913,0.55826,-2.35311,
3260,1.94625,0.551193,-2.40884,
3280,1.97127,0.545525,-2.44489,
3300,1.98703,0.541284,-2.45183,
3320,1.97384,0.52467,-2.45582,
3340,1.95635,0.514116,-2.45663,
3360,1.95009,0.509475,-2.46527,
3380,1.95107,0.507256,-2.48645,
3400,1.95202,0.493678,-2.52371,
3420,1.96615,0.449299,-2.59153,
3440,2.00003,0.403673,-2.62096,
3460,2.00478,0.359537,-2.63967,
3480,1.98018,0.310561,-2.65422,
3500,1.96574,0.250899,-2.66398,
3520,1.96416,0.182295,-2.67598,
3540,1.96545,0.116646,-2.67156,
3560,1.95041,0.04627,-2.65343,
3580,1.90898,-0.0141977,-2.62989,
3600,1.86348,-0.0568384,-2.5935,
3620,1.8237,-0.0734812,-2.55045,
3640,1.79577,-0.0711927,-2.51552,
3660,1.79467,-0.0607879,-2.4932,
3680,1.80558,-0.0472884,-2.48123,
3700,1.81432,-0.0281112,-2.46502,
3720,1.82357,-0.00372113,-2.45059,
3740,1.82714,0.0308284,-2.43798,
3760,1.82501,0.0608503,-2.44142,
3780,1.84034,0.0922445,-2.46965,
3800,1.90163,0.12617,-2.52082,
3820,2.02569,0.184161,-2.56785,
3840,2.15298,0.26512,-2.5957,
3860,2.23611,0.352198,-2.60446,
3880,2.25811,0.418592,-2.64704,
3900,2.23249,0.464547,-2.71126,
3920,2.24897,0.499329,-2.7333,
3940,2.24387,0.519195,-2.74108,
3960,2.2221,0.521374,-2.75361,
3980,2.18908,0.521917,-2.75973,
4000,2.12359,0.52107,-2.78054,
4020,2.05172,0.512536,-2.8215,
4040,2.05172,0.510438,-2.83191,
4060,2.06394,0.49559,-2.84279,
4080,2.06015,0.476863,-2.85416,
4100,2.048,0.462374,-2.85336,
4120,2.0036,0.459349,-2.84025,
4140,1.94174,0.467717,-2.81821,
4160,1.89208,0.483237,-2.78772,
4180,1.84402,0.495586,-2.75411,
4200,1.79696,0.4921,-2.72711,
4220,1.76017,0.471823,-2.70772,
4240,1.72098,0.441308,-2.68864,
4260,1.67747,0.406224,-2.66896,
4280,1.62783,0.369736,-2.65045,
4300,1.58298,0.328406,-2.64299,
4320,1.52551,0.284451,-2.64752,
4340,1.44528,0.23645,-2.66091,
4360,1.35912,0.178231,-2.67854,
4380,1.2618,0.117527,-2.70171,
4400,1.15744,0.0682436,-2.72678,
4420,1.08397,0.0339889,-2.75796,
4440,1.02369,0.020243,-2.81909,
4460,0.999129,0.0201048,-2.88255,
4480,1.04215,0.0333538,-2.92177,
4500,1.02096,0.0967574,-2.94567,
4520,0.998992,0.141561,-2.97212,
4540,1.01364,0.153802,-3.00781,
4560,1.02194,0.160769,-3.05201,
4580,1.05342,0.178746,-3.08983,
4600,1.08445,0.20117,-3.11523,
4620,1.09079,0.236037,-3.12696,
4640,1.08583,0.269696,-3.13539,
4660,1.06952,0.30169,3.13326,
4680,1.0506,0.334975,3.12381,
4700,1.02821,0.368388,3.13302,
4720,1.00891,0.395251,-3.1166,
4740,1.01408,0.423237,-3.08351,
4760,1.01806,0.434693,-3.06199,
4780,1.0372,0.442022,-3.0474,
4800,1.06431,0.427592,-3.04807,
4820,1.08896,0.420793,-3.05315,
