Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
670,7,2,4,-10,-10,-7,-3,-10,
675,-6,-4,0,22,4,0,4,-4,
680,7,0,-1,-18,-2,2,-1,3,
685,8,17,-2,19,13,1,-5,-3,
690,-11,-7,7,-4,-7,-7,-6,1,
695,3,1,11,-28,-3,-5,0,-1,
700,9,-22,-13,16,-6,-5,-15,12,
705,-16,-11,-19,-3,2,5,12,-8,
710,-4,0,13,-8,-6,-5,2,-10,
715,13,7,-1,5,2,4,5,14,
720,-5,3,13,0,-8,-4,-2,-9,
725,-5,-5,10,7,-1,-2,-5,-1,
730,-7,-3,11,20,3,1,-6,-6,
735,-26,-13,-1,-85,-28,-16,-10,-5,
740,18,24,-10,60,6,8,10,3,
745,3,-10,8,-6,-2,1,6,4,
750,5,16,5,7,-3,-4,-5,3,
755,-6,2,9,0,8,0,0,-7,
760,-5,-7,1,-13,2,-2,3,-3,
765,-6,-5,-12,7,3,0,-7,-4,
770,-6,-8,7,-12,-7,-5,-4,0,
775,-4,-1,-17,29,12,5,-4,-1,
780,4,-7,-13,-31,-1,0,3,-2,
785,16,1,7,26,4,-1,-7,-7,
790,4,11,-7,-14,0,2,13,2,
795,-4,-8,-25,35,12,6,-8,-4,
800,-3,-5,-8,-22,-7,-2,1,-5,
805,-6,7,9,-28,-15,-7,-11,2,
810,1,-10,-12,1,4,0,-2,-8,
815,4,9,4,16,2,-3,2,-2,
820,-22,-9,-6,6,4,1,-4,-5,
825,-8,-6,6,4,-1,-3,-10,-4,
830,26,8,-1,-4,1,4,12,17,
835,8,34,6,2,-8,2,8,-4,
840,-2,-10,-4,-15,-4,-1,-1,1,
845,-1,15,4,2,-1,-2,0,-2,
850,-21,-17,5,9,0,1,-3,-1,
855,-3,-15,-8,-44,-17,-12,-4,-2,
860,4,5,-6,34,15,4,4,0,
865,-5,-1,-2,-15,-3,-1,0,3,
870,-2,-9,1,-3,-5,-7,-8,0,
875,-7,-6,-18,0,8,5,3,-11,
880,9,11,3,-16,-9,-4,-3,3,
885,14,0,-11,8,3,4,5,8,
890,-2,-12,1,-13,-9,-4,-5,-5,
895,-6,16,-5,-6,11,5,4,-1,
900,-9,-11,-14,30,8,0,-2,-5,
905,-3,1,6,-15,-11,-4,2,-5,
910,-4,-3,-9,25,5,2,-2,-1,
915,3,-7,-4,-11,-4,-2,-5,0,
920,1,-3,1,-13,-7,-5,-8,-1,
925,-18,-8,19,-29,-5,-1,6,-3,
930,14,8,-13,4,7,-3,-2,-2,
935,0,-18,-14,29,-2,5,-2,3,
940,7,11,9,-20,-1,-1,2,4,
945,-1,6,-4,5,-15,-2,-3,-2,
950,-18,-7,-9,-19,0,-2,-1,-6,
955,0,-8,8,12,2,-2,-8,-3,
960,-9,-5,-2,-7,-4,-1,4,0,
965,6,-14,-11,9,5,-1,-4,-5,
970,4,24,-18,-1,-3,5,9,20,
975,23,-7,-12,38,10,2,7,-8,
980,-3,2,-1,-4,-4,-1,-3,-5,
985,-5,2,-11,9,2,-2,0,-3,
990,-4,-12,3,-32,-12,-5,-9,-7,
995,-10,-8,-1,-7,-3,-2,-2,2,
1000,-6,-8,7,2,0,-1,-1,-2,
1005,-11,-7,12,17,5,-5,-5,-4,
1010,6,2,-1,-69,-21,-4,0,-6,
1015,28,23,0,64,24,11,8,16,
1020,-7,-18,-23,-10,3,0,1,-9,
1025,-1,8,-3,-21,-4,-1,-2,25,
1030,-15,-12,8,40,6,-1,-3,-15,
1035,-11,1,2,-17,-13,-11,-4,-5,
1040,6,3,-3,-18,-8,-3,-6,5,
1045,3,-7,3,3,6,3,-1,-7,
1050,-9,-3,-18,19,12,2,-9,1,
1055,-10,-5,-10,5,0,0,-3,-1,
1060,21,2,-8,3,-4,-2,-1,-4,
1065,6,-5,1,-10,-1,2,5,23,
1070,11,20,5,15,6,1,0,-2,
1075,-3,6,4,-27,-6,-5,-5,-8,
1080,-21,-12,5,-5,-3,5,-4,-3,
1085,3,-5,9,2,-7,-9,-3,-5,
1090,-6,-14,22,-5,-3,2,-9,-2,
1095,3,0,-1,-2,3,-2,11,4,
1100,-3,1,-2,5,1,0,1,-4,
1105,-8,-2,-12,9,7,3,3,-10,
1110,4,-2,20,-6,-8,-2,2,20,
1115,13,25,9,-6,-5,-1,-2,-5,
1120,5,-1,9,-5,-3,-3,-3,1,
1125,-5,-8,-1,7,3,0,-2,-7,
1130,-3,16,-3,9,6,-3,2,-7,
1135,-11,-17,3,-14,-4,1,-12,0,
1140,0,-2,8,-1,-4,-4,5,6,
1145,-13,-8,6,8,7,0,-5,-7,
1150,14,0,-34,43,22,10,9,-6,
1155,9,4,4,-13,-6,0,1,11,
1160,-12,9,3,-9,-7,-1,0,-8,
1165,-6,-14,0,-8,-5,-2,-1,-8,
1170,18,2,2,-5,-5,-2,-2,1,
1175,-8,8,-4,2,1,-1,-1,-4,
1180,-6,-2,-6,1,2,-3,-5,0,
1185,-3,10,-4,0,-3,-3,-4,-1,
1190,-10,-7,-5,-12,-7,-2,12,-10,
1195,-6,-15,-2,0,-3,-3,0,13,
1200,6,4,17,-22,-15,-4,8,-2,
1205,14,22,-38,37,16,9,0,-1,
1210,-3,-6,-5,3,2,-1,-5,-1,
1215,-6,-8,2,-22,-12,-5,-11,-6,
1220,-11,-10,-3,-13,0,-1,4,1,
1225,4,-3,9,-5,-9,-5,2,-3,
1230,-16,-12,6,-1,-2,-1,-9,-1,
1235,-14,-9,-7,10,2,0,-3,-7,
1240,20,5,-3,-19,-3,-1,1,1,
1245,12,17,1,24,11,3,6,6,
1250,0,-2,-11,-47,-20,-6,-1,2,
1255,8,1,1,14,-6,-6,1,5,
1260,-10,-2,-9,12,4,3,-3,-8,
1265,-3,-3,-10,-11,-4,-1,-5,-9,
1270,-14,-5,16,-6,-6,-1,-7,1,
1275,-8,-5,-7,0,10,-1,-4,-7,
1280,10,-3,2,-3,-1,-2,7,1,
1285,4,1,-1,-13,-8,-1,3,5,
1290,13,21,7,54,10,0,0,1,
1295,7,-3,-10,-38,-14,1,-1,-6,
1300,-10,-8,18,7,4,-1,-8,2,
1305,-5,-12,1,8,1,0,-1,-2,
1310,-1,-3,-8,-6,-4,-5,0,-2,
1315,-6,-3,10,7,-3,0,0,-3,
1320,-3,-5,-3,21,16,-3,-3,3,
1325,26,18,5,-43,-19,-3,-3,-1,
1330,-7,6,-26,15,4,4,0,-5,
1335,-9,4,8,5,4,-1,-4,10,
1340,3,-17,-19,-6,-4,2,-4,-2,
1345,-15,-13,16,-10,1,-2,2,-7,
1350,0,-3,3,-8,-2,-3,-7,-4,
1355,-4,-1,0,2,8,4,19,-9,
1360,-8,1,6,-51,-38,-9,-3,-2,
1365,11,9,-13,44,27,4,-10,3,
1370,-3,0,-5,-8,-2,2,18,4,
1375,11,3,-3,8,-1,-6,-8,-7,
1380,-10,1,10,12,3,1,2,-1,
1385,2,-6,0,-25,-13,-2,-1,-2,
1390,-6,-11,2,-13,-4,-2,-6,-1,
1395,-3,-7,-2,15,7,-1,2,-1,
1400,4,10,-5,2,-3,1,-6,0,
1405,-4,6,-24,3,4,-7,-5,3,
1410,5,-6,1,-1,3,1,1,-6,
1415,7,11,5,-12,-7,-2,1,14,
1420,-3,-1,-7,29,2,2,-8,-8,
1425,-15,-2,9,-24,-5,0,6,-5,
1430,3,9,-3,7,0,-4,-1,-2,
1435,-4,-8,-8,-6,-7,-1,5,-7,
1440,2,-2,-19,-7,0,-1,4,4,
1445,-7,-4,7,-8,-5,-2,-1,1,
1450,9,7,5,-2,-1,1,-1,3,
1455,3,3,-12,-1,-5,1,-6,-3,
1460,16,14,3,7,3,-2,-1,2,
1465,-9,-22,6,-1,-1,1,-3,1,
1470,-1,-3,8,1,-1,-2,-3,-1,
1475,-2,1,1,-13,-11,-1,-2,-4,
1480,-5,-6,-12,14,27,4,7,-5,
1485,-6,-6,0,37,11,1,-2,-2,
1490,8,-6,8,-27,-14,-2,-4,0,
1495,-2,-10,-4,9,2,-2,-6,-4,
1500,-2,3,-1,-3,-1,-2,6,0,
1505,4,12,8,-8,-2,2,1,8,
1510,-15,-17,-12,-2,-5,-2,0,6,
1515,2,-1,-10,-15,-2,0,0,-11,
1520,3,8,2,4,0,0,-4,2,
1525,0,-1,-3,3,-3,-3,-4,-6,
1530,-4,-1,-4,6,-3,1,6,5,
1535,-1,-14,2,6,10,-3,-6,2,
1540,9,6,-23,-15,-15,-3,-7,-2,
1545,-1,3,-9,28,14,0,0,0,
1550,-17,-4,4,-8,-5,-1,1,-5,
1555,15,2,3,-15,-4,-1,-1,0,
1560,-10,-1,-10,34,4,1,-5,1,
1565,1,1,9,-27,-3,-5,0,-2,
1570,-2,-4,-14,49,20,3,-2,0,
1575,-9,1,-2,-10,-14,-9,-9,0,
1580,-6,-11,-3,-30,-8,2,13,0,
1585,0,0,-12,-17,-8,-3,-5,-11,
1590,2,-10,11,6,11,5,-2,12,
1595,8,15,-11,-6,-2,-1,-3,-11,
1600,3,1,-2,11,5,0,-5,6,
1605,-15,-7,-2,-5,-10,-5,-2,-2,
1610,2,2,-7,-16,2,-2,-1,-6,
1615,2,7,2,12,8,-1,-7,-1,
1620,-5,-6,18,-21,-15,-4,6,2,
1625,-2,-7,-18,-5,6,-3,-2,-7,
1630,2,8,-3,6,-4,3,-1,3,
1635,-11,-29,4,-6,2,2,4,4,
1640,2,12,-6,15,6,-3,-10,-8,
1645,3,1,15,-29,-11,1,2,3,
1650,-9,6,1,-13,-8,-5,-5,-9,
1655,-7,1,-13,18,5,0,2,2,
1660,-8,-11,8,-21,-9,-2,-3,0,
1665,0,-2,1,10,4,1,-11,-1,
1670,-4,-4,-3,-4,-6,-5,-10,-3,
1675,4,-4,11,1,-13,-3,3,-4,
1680,14,15,-13,8,12,1,-1,0,
1685,12,30,-9,18,1,4,4,7,
1690,-3,-11,7,3,2,-3,-5,-6,
1695,-8,-13,3,-9,2,-1,-1,-3,
1700,-6,-3,4,19,2,-2,-4,-10,
1705,-10,-9,2,5,-1,-3,-1,-1,
1710,-1,4,5,-29,-13,-4,0,-3,
1715,-10,-3,-21,11,8,3,-8,0,
1720,9,-9,2,-13,-4,-3,1,7,
1725,-4,0,-2,13,3,0,4,-1,
1730,9,1,0,-5,-6,-1,1,2,
1735,11,16,-5,-24,-15,-3,-4,2,
1740,-7,1,-8,32,18,1,-2,-2,
1745,-1,-21,5,-15,-9,0,1,-2,
1750,-12,-13,-18,5,3,-3,-5,-4,
1755,-5,2,-1,8,10,1,7,1,
1760,12,13,3,-32,-21,-5,2,-3,
1765,-1,-3,-6,-14,0,-5,-5,5,
1770,12,4,4,15,-5,2,7,-7,
1775,-3,-2,-13,7,8,4,4,-3,
1780,-14,-10,2,2,7,-3,-8,-2,
1785,0,-4,0,-12,-4,-1,-4,-7,
1790,-2,1,-3,-16,-3,-1,-3,12,
1795,3,5,-6,2,-8,0,-1,0,
1800,-6,-12,-1,-4,13,-1,-3,-4,
1805,12,6,-12,-6,-9,1,1,-2,
1810,-10,-6,-9,0,5,0,-3,1,
1815,-9,2,8,-8,-6,-1,6,3,
1820,26,20,-4,0,-8,0,0,4,
1825,-2,-1,12,4,1,0,-3,1,
1830,-3,0,16,1,6,-2,-3,-6,
1835,-12,-7,8,-22,-7,-7,-7,-4,
1840,-10,-17,-11,-1,-8,-1,-3,-3,
1845,-11,-5,18,33,10,-7,-4,0,
1850,18,8,-9,-49,-18,7,17,-5,
1855,13,7,6,1,-3,0,0,9,
1860,-8,4,5,21,6,4,-3,-4,
1865,4,9,12,-33,-12,-2,2,-3,
1870,-18,-18,3,16,1,-5,-8,1,
1875,-4,-14,4,-2,3,-1,-8,-3,
1880,1,4,-3,6,2,2,10,4,
1885,-11,-10,0,-11,-4,-1,-3,-2,
1890,-2,5,1,4,6,1,-5,-5,
1895,8,5,-22,19,6,-2,0,-4,
1900,-9,-11,3,-12,-10,-2,-3,8,
1905,0,10,-1,8,3,1,-4,-11,
1910,7,7,-2,-2,0,-1,-2,1,
